Profile: Function timing, sorted by time
Date:    Thu Jul 18 21:01:21 2002


Program Statistics
------------------
    Command line at 2002 Jul 18 21:00: "D:\Work\EmperorOfDragons\Game\XLauncher" 
    Total time: 63121.302 millisecond
    Time outside of functions: 5.782 millisecond
    Call depth: 38
    Total functions: 1172
    Total hits: 732624
    Function coverage: 41.3%
    Overhead Calculated 8
    Overhead Average 8

Module Statistics for xlauncher.exe
-----------------------------------
    Time in module: 63115.521 millisecond
    Percent of time in module: 100.0%
    Functions in module: 1172
    Hits in module: 732624
    Module function coverage: 41.3%

        Func          Func+Child           Hit
        Time   %         Time      %      Count  Function
---------------------------------------------------------
       0.103   0.0        0.103   0.0      273 CFTPOptionsDialog::GetMessageMap(void) (ftpoptionsdialog.obj)
       0.099   0.0        0.099   0.0      463 CZipArchive::CurrentFile(void) (ziparchive.obj)
       0.093   0.0        0.093   0.0      562 CBitmapDialog::_GetBaseMessageMap(void) (bitmapdialog.obj)
       0.090   0.0        0.090   0.0        1 CListCtrl::SetExtendedStyle(unsigned long) (mfc42d.dll)
       0.087   0.0        0.087   0.0        2 CFileFind::FindNextFileA(void) (mfc42d.dll)
       0.087   0.0        0.087   0.0       25 CString::operator=(char const *) (mfc42d.dll)
       0.086   0.0        0.086   0.0        2 AfxFormatString2(class CString &,unsigned int,char const *,char const *) (mfc42d.dll)
       0.085   0.0        0.085   0.0        2 CFileFind::~CFileFind(void) (mfc42d.dll)
       0.082   0.0        4.250   0.0      330 _inflate_trees_bits (inftrees.obj)
       0.080   0.0        0.080   0.0       11 CGdiObject::DeleteObject(void) (mfc42d.dll)
       0.079   0.0        0.079   0.0      771 CAutoBuffer::GetSize(void) (autobuffer.obj)
       0.079   0.0      593.872   0.9      106 CButtonST::InitToolTip(void) (btnst.obj)
       0.077   0.0    31508.015  49.9        1 CXLauncherDlg::VersionCheck(void) (xlauncherdlg.obj)
       0.076   0.0        0.076   0.0        1 CDC::RoundRect(struct tagRECT const *,struct tagPOINT) (mfc42d.dll)
       0.075   0.0        0.075   0.0       78 CWnd::GetOwner(void) (mfc42d.dll)
       0.072   0.0        0.072   0.0        1 CWnd::GetSystemMenu(int) (mfc42d.dll)
       0.068   0.0        0.068   0.0        8 CDC::SelectObject(class CBitmap *) (mfc42d.dll)
       0.068   0.0        0.068   0.0       12 CButtonST::FreeResources(int) (btnst.obj)
       0.068   0.0        0.068   0.0      414 CFile::AssertValid(void) (mfc42d.dll)
       0.063   0.0        0.097   0.0        6 CPackage::Close(void) (package.obj)
       0.062   0.0        0.062   0.0        9 CDC::~CDC(void) (mfc42d.dll)
       0.062   0.0        0.062   0.0        2 CFont::CreateFontIndirectA(struct tagLOGFONTA const *) (mfc42d.dll)
       0.060   0.0        0.060   0.0        4 AfxFindResourceHandle(char const *,char const *) (mfc42d.dll)
       0.060   0.0        0.060   0.0        4 CDialog::CheckAutoCenter(void) (mfc42d.dll)
       0.059   0.0        0.059   0.0       11 CString::Replace(char const *,char const *) (mfc42d.dll)
       0.059   0.0        1.329   0.0        2 CFTPTransferDlg::OnDestroy(void) (ftptransferdlg.obj)
       0.058   0.0        0.058   0.0        4 CButton::SetButtonStyle(unsigned int,int) (mfc42d.dll)
       0.056   0.0        0.056   0.0       23 CDC::SetPixel(int,int,unsigned long) (mfc42d.dll)
       0.055   0.0        0.055   0.0        3 CDC::DeleteDC(void) (mfc42d.dll)
       0.054   0.0        0.617   0.0       78 CWnd::OnMouseMove(unsigned int,class CPoint) (mfc42d.dll)
       0.054   0.0        0.065   0.0       13 AfxGetMainWnd(void) (mfc42d.dll)
       0.054   0.0        0.054   0.0        3 CDC::BitBlt(int,int,int,int,class CDC *,int,int,unsigned long) (mfc42d.dll)
       0.053   0.0        0.059   0.0        3 CWnd::ModifyStyle(unsigned long,unsigned long,unsigned int) (mfc42d.dll)
